lat,lon,obs_trend,cmip_trend,trend_bias
31,79,0.017037629532703578,0.027233403595498733,0.01019577406279517
31,81,0.00884515286903204,0.03230717761095101,0.023462024741918972
31,83,0.03811722370676409,0.033430904025437254,-0.0046863196813268235
31,85,0.03913632385517238,0.0345413929075701,-0.004594930947602275
31,87,0.03177328258493936,0.03312395814670616,0.0013506755617668025
31,89,0.03584083951078267,0.0330130347992363,-0.0028278047115463836
31,91,0.0458031786824393,0.03408302676454365,-0.011720151917895641
31,93,0.03880346153471512,0.03416179142165087,-0.00464167011306423
31,95,0.03596935126229937,0.03386808614759202,-0.002101265114707341
31,97,0.04230631477895279,0.034415543213653046,-0.007890771565299751
31,99,0.03867990365653215,0.03672637695392401,-0.0019535267026081528
31,101,0.04081576696943917,0.0299002839234739,-0.010915483045965261
