lat,lon,model,snw_trend_pct
27.0,89.0,CNRM-CM6-1_r1i1p1f2,0.0
27.0,89.0,CanESM5_r1i1p1f1,0.16384243413729044
27.0,89.0,GFDL-CM4_r1i1p1f1,-0.8603115497230927
27.0,89.0,GFDL-ESM4_r1i1p1f1,0.2368227590118566
27.0,89.0,IPSL-CM6A-LR_r1i1p1f1,-0.3355665882748688
27.0,89.0,MRI-ESM2-0_r1i1p1f1,-0.4297355385983614
27.0,91.0,ACCESS-CM2_r1i1p1f1,-0.42599761799862146
27.0,91.0,ACCESS-ESM1-5_r1i1p1f1,-0.5974836194679064
27.0,91.0,BCC-CSM2-MR_r1i1p1f1,-1.6683997556299696e-08
27.0,91.0,CNRM-CM6-1_r1i1p1f2,0.0
27.0,91.0,CanESM5_r1i1p1f1,-1.2171317797766303
27.0,91.0,GFDL-CM4_r1i1p1f1,-0.9165655355364246
27.0,91.0,GFDL-ESM4_r1i1p1f1,0.19836406357282022
27.0,91.0,IPSL-CM6A-LR_r1i1p1f1,-1.7166848239237136
27.0,91.0,MRI-ESM2-0_r1i1p1f1,-0.7616473310334567
27.0,93.0,ACCESS-CM2_r1i1p1f1,-0.21654747952129488
27.0,93.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,93.0,BCC-CSM2-MR_r1i1p1f1,-4.820027272619446e-11
27.0,93.0,CanESM5_r1i1p1f1,-2.3241186203463813
27.0,93.0,GFDL-CM4_r1i1p1f1,-1.1136271196177379
27.0,93.0,GFDL-ESM4_r1i1p1f1,0.009804760959670028
27.0,93.0,IPSL-CM6A-LR_r1i1p1f1,-1.6249211990501902
27.0,93.0,MRI-ESM2-0_r1i1p1f1,-0.4033111542238418
27.0,95.0,ACCESS-CM2_r1i1p1f1,0.0
27.0,95.0,CanESM5_r1i1p1f1,-2.243061772736242
27.0,95.0,GFDL-CM4_r1i1p1f1,-0.0003637469222987939
27.0,95.0,GFDL-ESM4_r1i1p1f1,-0.6090230995404585
27.0,95.0,IPSL-CM6A-LR_r1i1p1f1,-1.6249211990501902
27.0,97.0,ACCESS-CM2_r1i1p1f1,-1.1936090881285897
27.0,97.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,97.0,BCC-CSM2-MR_r1i1p1f1,0.0
27.0,97.0,CanESM5_r1i1p1f1,-2.152088192664897
27.0,97.0,GFDL-CM4_r1i1p1f1,-0.14456321416810272
27.0,97.0,GFDL-ESM4_r1i1p1f1,-1.0843832088781182
27.0,97.0,IPSL-CM6A-LR_r1i1p1f1,-1.122850296077719
27.0,97.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,99.0,ACCESS-CM2_r1i1p1f1,-1.654176152272577
27.0,99.0,ACCESS-ESM1-5_r1i1p1f1,-0.6574501969149511
27.0,99.0,BCC-CSM2-MR_r1i1p1f1,-0.725725269003475
27.0,99.0,CNRM-CM6-1_r1i1p1f2,-0.2859341977898898
27.0,99.0,CanESM5_r1i1p1f1,-1.9395879844804873
27.0,99.0,GFDL-CM4_r1i1p1f1,-0.9623041955318525
27.0,99.0,GFDL-ESM4_r1i1p1f1,-1.155360589567989
27.0,99.0,IPSL-CM6A-LR_r1i1p1f1,-0.6900449006883362
27.0,99.0,MIROC6_r1i1p1f1,0.0
27.0,99.0,MRI-ESM2-0_r1i1p1f1,-1.8023248082119967
27.0,99.0,NorESM2-LM_r1i1p1f1,0.0
27.0,101.0,ACCESS-CM2_r1i1p1f1,-1.0222858170730555
27.0,101.0,ACCESS-ESM1-5_r1i1p1f1,-0.624663049756341
27.0,101.0,BCC-CSM2-MR_r1i1p1f1,-0.946393665931549
27.0,101.0,CNRM-CM6-1_r1i1p1f2,-0.3106629888837629
27.0,101.0,CanESM5_r1i1p1f1,-1.4094569763046525
27.0,101.0,GFDL-CM4_r1i1p1f1,-0.9533592432687502
27.0,101.0,GFDL-ESM4_r1i1p1f1,-0.01781164973560348
27.0,101.0,IPSL-CM6A-LR_r1i1p1f1,-0.8193126924925683
27.0,101.0,MIROC6_r1i1p1f1,0.0
27.0,101.0,MRI-ESM2-0_r1i1p1f1,-1.4841748241070016
27.0,101.0,NorESM2-LM_r1i1p1f1,0.0
27.0,103.0,ACCESS-CM2_r1i1p1f1,-0.41465003926078237
27.0,103.0,ACCESS-ESM1-5_r1i1p1f1,-0.5810126777517653
27.0,103.0,BCC-CSM2-MR_r1i1p1f1,-0.16359313286247212
27.0,103.0,CNRM-CM6-1_r1i1p1f2,-0.5638006630350355
27.0,103.0,CanESM5_r1i1p1f1,-1.446714938564293
27.0,103.0,GFDL-CM4_r1i1p1f1,-0.13931258656631906
27.0,103.0,GFDL-ESM4_r1i1p1f1,-0.18343587513081283
27.0,103.0,IPSL-CM6A-LR_r1i1p1f1,-1.8379601799514766
27.0,103.0,MIROC6_r1i1p1f1,0.0
27.0,103.0,MRI-ESM2-0_r1i1p1f1,-0.7770802978113036
27.0,103.0,NorESM2-LM_r1i1p1f1,0.0
27.0,105.0,ACCESS-CM2_r1i1p1f1,-0.5122937316816355
27.0,105.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,105.0,BCC-CSM2-MR_r1i1p1f1,0.33143522476071813
27.0,105.0,CNRM-CM6-1_r1i1p1f2,-0.6982910538930811
27.0,105.0,CanESM5_r1i1p1f1,-1.0205447680337365
27.0,105.0,GFDL-CM4_r1i1p1f1,-0.13695805326893867
27.0,105.0,GFDL-ESM4_r1i1p1f1,0.03457000253028164
27.0,105.0,IPSL-CM6A-LR_r1i1p1f1,-2.055449090787494
27.0,105.0,MIROC6_r1i1p1f1,0.0
27.0,105.0,MRI-ESM2-0_r1i1p1f1,-0.2663026123703482
27.0,105.0,NorESM2-LM_r1i1p1f1,0.0
27.0,107.0,ACCESS-CM2_r1i1p1f1,-0.2464410849976378
27.0,107.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,107.0,BCC-CSM2-MR_r1i1p1f1,0.4167162892492181
27.0,107.0,CNRM-CM6-1_r1i1p1f2,-0.6571686963148058
27.0,107.0,CanESM5_r1i1p1f1,-0.49623040896815174
27.0,107.0,GFDL-CM4_r1i1p1f1,-0.004538096255210348
27.0,107.0,GFDL-ESM4_r1i1p1f1,0.4167740588560529
27.0,107.0,IPSL-CM6A-LR_r1i1p1f1,-1.836391138907675
27.0,107.0,MIROC6_r1i1p1f1,0.0
27.0,107.0,MRI-ESM2-0_r1i1p1f1,-0.05868494019443859
27.0,107.0,NorESM2-LM_r1i1p1f1,0.0
27.0,109.0,ACCESS-CM2_r1i1p1f1,-0.38980385293232755
27.0,109.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,109.0,BCC-CSM2-MR_r1i1p1f1,0.008196330296452394
27.0,109.0,CNRM-CM6-1_r1i1p1f2,-0.16454679638309178
27.0,109.0,CanESM5_r1i1p1f1,-0.5505069392846893
27.0,109.0,GFDL-CM4_r1i1p1f1,-0.0048174169186701475
27.0,109.0,GFDL-ESM4_r1i1p1f1,1.2793539713248594
27.0,109.0,IPSL-CM6A-LR_r1i1p1f1,-2.040047384533444
27.0,109.0,MIROC6_r1i1p1f1,0.0
27.0,109.0,MRI-ESM2-0_r1i1p1f1,-0.002382395897682212
27.0,109.0,NorESM2-LM_r1i1p1f1,0.0
27.0,111.0,ACCESS-CM2_r1i1p1f1,-0.17210243478033901
27.0,111.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,111.0,BCC-CSM2-MR_r1i1p1f1,8.1295639137415e-09
27.0,111.0,CNRM-CM6-1_r1i1p1f2,-0.010478076445422863
27.0,111.0,CanESM5_r1i1p1f1,-0.10528441553057426
27.0,111.0,GFDL-CM4_r1i1p1f1,0.04043013143501627
27.0,111.0,GFDL-ESM4_r1i1p1f1,4.343797607113934
27.0,111.0,IPSL-CM6A-LR_r1i1p1f1,-2.2035071231720558
27.0,111.0,MIROC6_r1i1p1f1,0.0
27.0,111.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,111.0,NorESM2-LM_r1i1p1f1,0.0
27.0,113.0,ACCESS-CM2_r1i1p1f1,-0.011371344953739823
27.0,113.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,113.0,BCC-CSM2-MR_r1i1p1f1,-2.7128872882885866e-11
27.0,113.0,CNRM-CM6-1_r1i1p1f2,-0.0012109766647117359
27.0,113.0,CanESM5_r1i1p1f1,0.02791224130107124
27.0,113.0,GFDL-CM4_r1i1p1f1,-0.016079902632447785
27.0,113.0,GFDL-ESM4_r1i1p1f1,-2.14375681089109
27.0,113.0,IPSL-CM6A-LR_r1i1p1f1,-1.6392207290513232
27.0,113.0,MIROC6_r1i1p1f1,0.0
27.0,113.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,113.0,NorESM2-LM_r1i1p1f1,0.0
27.0,115.0,ACCESS-CM2_r1i1p1f1,-0.00019206400457144336
27.0,115.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,115.0,BCC-CSM2-MR_r1i1p1f1,-1.703011723184196e-05
27.0,115.0,CNRM-CM6-1_r1i1p1f2,-0.11637211081607958
27.0,115.0,CanESM5_r1i1p1f1,0.24376661144084527
27.0,115.0,GFDL-CM4_r1i1p1f1,-0.017327664290925356
27.0,115.0,GFDL-ESM4_r1i1p1f1,-1.5559955549088282
27.0,115.0,IPSL-CM6A-LR_r1i1p1f1,-1.1573010992801036
27.0,115.0,MIROC6_r1i1p1f1,0.0
27.0,115.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,119.0,ACCESS-CM2_r1i1p1f1,-1.3817816601167093e-05
27.0,119.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,119.0,BCC-CSM2-MR_r1i1p1f1,0.0
27.0,119.0,CNRM-CM6-1_r1i1p1f2,-0.3889879182323108
27.0,119.0,CanESM5_r1i1p1f1,0.2743783213258129
27.0,119.0,GFDL-CM4_r1i1p1f1,-0.029697869757502784
27.0,119.0,GFDL-ESM4_r1i1p1f1,-0.42814367409242465
27.0,119.0,IPSL-CM6A-LR_r1i1p1f1,-1.4893609544902973
27.0,119.0,MIROC6_r1i1p1f1,0.0
27.0,119.0,MRI-ESM2-0_r1i1p1f1,0.0
29.0,-109.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,-109.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,-109.0,BCC-CSM2-MR_r1i1p1f1,0.0
29.0,-109.0,CNRM-CM6-1_r1i1p1f2,-0.2531660837481963
29.0,-109.0,CanESM5_r1i1p1f1,0.0
29.0,-109.0,GFDL-CM4_r1i1p1f1,-0.2847088553093163
29.0,-109.0,GFDL-ESM4_r1i1p1f1,-53.74545286578697
29.0,-109.0,IPSL-CM6A-LR_r1i1p1f1,0.003993275463705406
29.0,-109.0,MRI-ESM2-0_r1i1p1f1,-0.011372052440205284
29.0,-107.0,ACCESS-CM2_r1i1p1f1,0.0
29.0,-107.0,ACCESS-ESM1-5_r1i1p1f1,0.0
29.0,-107.0,BCC-CSM2-MR_r1i1p1f1,9.453330962429653e-06
29.0,-107.0,CNRM-CM6-1_r1i1p1f2,0.6286929084293746
29.0,-107.0,CanESM5_r1i1p1f1,0.0
29.0,-107.0,GFDL-CM4_r1i1p1f1,-0.36967115232994235
29.0,-107.0,GFDL-ESM4_r1i1p1f1,-597.1462496196212
