product,lat,lon,swe_trend_pct
ERA5-Land,31.0,97.0,-1.2436452989284987
ERA5-Land,31.0,99.0,-1.2211151382960936
ERA5-Land,31.0,101.0,-0.733884112501426
ERA5-Land,31.0,103.0,-0.99233567630233
ERA5-Land,31.0,105.0,-1.5684917760418713
ERA5-Land,31.0,107.0,-0.5951018043474908
ERA5-Land,31.0,109.0,-1.4766840905108356
ERA5-Land,31.0,111.0,-1.1141882606621696
ERA5-Land,31.0,115.0,-0.31425579386657004
ERA5-Land,31.0,117.0,-0.3333145969636348
ERA5-Land,31.0,119.0,-0.18659478864352005
ERA5-Land,33.0,-113.0,-0.11004849367537184
ERA5-Land,33.0,-111.0,-1.0282723044521407
ERA5-Land,33.0,-109.0,-2.5729270857615814
ERA5-Land,33.0,-107.0,-2.6105399483806533
ERA5-Land,33.0,-105.0,-1.653050494553959
ERA5-Land,33.0,-5.0,0.015595035338526155
ERA5-Land,33.0,-3.0,6.730880713176405e-05
ERA5-Land,33.0,37.0,-0.3772285828794753
ERA5-Land,33.0,45.0,-0.006198177334606069
ERA5-Land,33.0,47.0,-1.4940732104669523
ERA5-Land,33.0,49.0,-2.4403224359490245
ERA5-Land,33.0,51.0,-1.5133505461744925
ERA5-Land,33.0,53.0,-1.234569128359786
ERA5-Land,33.0,59.0,-2.053594499343928
ERA5-Land,33.0,61.0,-1.2742535678854052
ERA5-Land,33.0,63.0,-2.339860554867534
ERA5-Land,33.0,65.0,-2.684400991463158
ERA5-Land,33.0,67.0,-1.593600578444871
ERA5-Land,33.0,69.0,-0.8980891094460618
ERA5-Land,33.0,71.0,-0.919363132913386
ERA5-Land,33.0,73.0,-1.7627632082068956
ERA5-Land,33.0,75.0,-0.49873736231555316
ERA5-Land,33.0,77.0,-0.023515177678645166
ERA5-Land,33.0,79.0,0.21499476799843428
ERA5-Land,33.0,81.0,0.29340829998161244
ERA5-Land,33.0,83.0,-0.035844562119355966
ERA5-Land,33.0,85.0,0.05588849764844457
ERA5-Land,33.0,87.0,0.10668081596043567
ERA5-Land,33.0,89.0,0.15667286161767874
ERA5-Land,33.0,91.0,-0.5963418448114223
ERA5-Land,33.0,93.0,-0.2971633677059942
ERA5-Land,33.0,95.0,0.4381870584487619
ERA5-Land,33.0,97.0,0.3076537589929814
ERA5-Land,33.0,99.0,0.17246818495408292
ERA5-Land,33.0,101.0,-0.5754712546123907
ERA5-Land,33.0,103.0,-0.6766311449411719
ERA5-Land,33.0,105.0,-1.4795140747201365
ERA5-Land,33.0,107.0,-1.5877314571654433
ERA5-Land,33.0,109.0,-1.1208154519626814
ERA5-Land,33.0,111.0,-1.596255017291098
ERA5-Land,33.0,113.0,-1.4790372094005817
ERA5-Land,33.0,117.0,-0.0007052019359291568
ERA5-Land,35.0,-117.0,-1.2959134153178602
ERA5-Land,35.0,-115.0,-0.2978875319188902
ERA5-Land,35.0,-113.0,-1.1661574991108057
ERA5-Land,35.0,-111.0,-1.1385080548242796
ERA5-Land,35.0,-109.0,-1.717968113337889
ERA5-Land,35.0,-107.0,-2.875936969285735
ERA5-Land,35.0,-105.0,-2.101294529678214
ERA5-Land,35.0,-103.0,-0.6990912250663527
ERA5-Land,35.0,-101.0,-0.37984652575194866
ERA5-Land,35.0,-99.0,-0.002224919093286798
ERA5-Land,35.0,-85.0,-0.18399721903353355
ERA5-Land,35.0,-83.0,-0.6923932642131111
ERA5-Land,35.0,-81.0,-0.09247609114997127
ERA5-Land,35.0,3.0,0.12141248864129277
ERA5-Land,35.0,7.0,1.0070200055005085
ERA5-Land,35.0,9.0,0.09878339390014765
ERA5-Land,35.0,45.0,-1.8406690769058995
ERA5-Land,35.0,47.0,-3.179417084252791
ERA5-Land,35.0,49.0,-2.9106463609694346
ERA5-Land,35.0,51.0,-2.112558188175984
ERA5-Land,35.0,53.0,-1.7917152535865735
ERA5-Land,35.0,55.0,-0.8648755272710565
ERA5-Land,35.0,57.0,-0.7741217479755897
ERA5-Land,35.0,59.0,-2.026211037115125
ERA5-Land,35.0,61.0,-2.3738456526236336
ERA5-Land,35.0,63.0,-2.5030758170467413
ERA5-Land,35.0,65.0,-1.8316377956157615
ERA5-Land,35.0,67.0,-0.666282086576984
ERA5-Land,35.0,69.0,-0.7218246818522652
ERA5-Land,35.0,71.0,-0.380052732093512
ERA5-Land,35.0,73.0,-0.34794169157710225
ERA5-Land,35.0,75.0,-0.27777409518357477
ERA5-Land,35.0,77.0,-0.01512190628222843
ERA5-Land,35.0,79.0,-0.04669961511861485
ERA5-Land,35.0,81.0,0.31479207995029773
ERA5-Land,35.0,83.0,0.13611224782716766
ERA5-Land,35.0,85.0,0.016679831746801557
ERA5-Land,35.0,87.0,0.003914521911435846
ERA5-Land,35.0,89.0,0.23819253285274283
ERA5-Land,35.0,91.0,0.26347693067004047
ERA5-Land,35.0,93.0,0.7089356230114298
ERA5-Land,35.0,95.0,0.5796514524001793
ERA5-Land,35.0,97.0,0.458976191509641
ERA5-Land,35.0,99.0,-0.23929098530796394
ERA5-Land,35.0,101.0,-1.5017760325713074
ERA5-Land,35.0,103.0,-1.727904234777764
ERA5-Land,35.0,105.0,-0.9741911372372473
ERA5-Land,35.0,107.0,-1.5170510415682001
ERA5-Land,35.0,109.0,-2.56758000115608
ERA5-Land,35.0,111.0,-3.0756891095140775
ERA5-Land,35.0,113.0,-3.208181668287916
ERA5-Land,35.0,115.0,-0.7432598287421045
ERA5-Land,35.0,117.0,-1.0737740936685853
ERA5-Land,37.0,-119.0,-0.46955039928384257
ERA5-Land,37.0,-117.0,-0.9359684427079007
ERA5-Land,37.0,-115.0,-1.3185305574442043
ERA5-Land,37.0,-113.0,-0.3877404543956656
ERA5-Land,37.0,-111.0,-0.3745421093740023
ERA5-Land,37.0,-109.0,-1.6700889533321528
ERA5-Land,37.0,-107.0,-1.4532637904457215
ERA5-Land,37.0,-105.0,-1.7591445294932817
ERA5-Land,37.0,-103.0,-2.246303901589093
ERA5-Land,37.0,-101.0,-1.7009029163075027
ERA5-Land,37.0,-99.0,-0.6145880976686915
ERA5-Land,37.0,-97.0,-0.11174895436112828
ERA5-Land,37.0,-95.0,-0.00028537551604421396
ERA5-Land,37.0,-91.0,0.002722391332751169
ERA5-Land,37.0,-85.0,0.16357336060817804
ERA5-Land,37.0,-83.0,-0.07097280529702053
ERA5-Land,37.0,-81.0,-0.2209802323280857
ERA5-Land,37.0,-79.0,0.07732096703406029
ERA5-Land,37.0,39.0,-0.7314450728483896
ERA5-Land,37.0,41.0,-0.36151713274761277
ERA5-Land,37.0,43.0,-0.6774037713768492
ERA5-Land,37.0,47.0,-3.4167101288325497
ERA5-Land,37.0,55.0,-2.0037521464582917
ERA5-Land,37.0,57.0,-1.3969575715963505
ERA5-Land,37.0,59.0,-0.9193867315272535
ERA5-Land,37.0,61.0,-1.100997261484356
