station_id,lat,lon,r2,rmse
10180,60.01805,7.914444,0.4957189100000756,22.232079930958445
10181,59.55,9.264167,0.49660501616234265,68.81954791578464
10182,59.26444,8.775,0.7109371661707469,20.590143807234963
10183,59.70444000000001,8.036389,0.518520258408752,19.113404555105767
10185,59.74528000000001,8.81,0.7775401396486318,10.796578037199643
10187,58.51694000000001,8.353333000000001,0.572799477075912,20.839733433945817
10188,58.63306,8.281667,0.5395005653182046,19.307729200746408
10189,58.79306,8.234167,0.557130900155832,16.532841813046502
10190,58.41167,6.658056,0.0951345462263784,83.2390598482924
10191,58.28167,6.818056,0.257900332041499,67.8252110371631
10193,58.65778,6.946389,0.4333863876905083,18.984573276795008
10194,58.61555,7.406667,0.3081635749142454,21.710712747295247
10196,58.94639,6.919167,0.5973242045918523,32.74688782784373
