product,basin,obs_trend_pct,recon_trend_pct
ERA5-Land,4130.0,-0.10195442755487248,-0.003939591257561445
ERA5-Land,4131.0,-0.10436684371427715,-0.05219211977719742
ERA5-Land,4132.0,0.24652223893216152,0.2999388907180262
ERA5-Land,4133.0,0.210670324621563,0.24517926669602988
ERA5-Land,4134.0,-0.2622466554606754,-0.16388979188996483
ERA5-Land,4207.0,0.21251078258856554,0.2134579212037226
ERA5-Land,4210.0,0.6400978438475848,0.33347951519527314
ERA5-Land,4211.0,0.5982813533224489,0.44238537769883085
ERA5-Land,4214.0,0.762701644130538,0.7263608401648609
ERA5-Land,4216.0,0.1621559433018237,0.18481292273680755
ERA5-Land,4217.0,0.22365006406077834,0.1973694519310401
ERA5-Land,4218.0,0.32330979718945213,0.2994405151184638
ERA5-Land,4219.0,-0.274613996732505,-0.2933925985013355
