,MRBID,RIVER_BASI,mod_u_frac,iv_u_frac,swe_u_frac,tp_u_frac,source_max,source_col
344,4133,THLEWIAZA,0.1839776166120372,0.16241440402111174,0.5548872813241706,0.09872069804268045,swe_u_frac,#984ea3
346,4102,ANDERSON,0.31294312855267203,0.19694611892539615,0.3715987239273594,0.11851202859457254,swe_u_frac,#984ea3
349,4245,SUSQUEHANNA,0.47465546108256296,0.2889400444576851,0.1908377190257863,0.045566775433965555,mod_u_frac,#4daf4a
354,6205,DNIESTR,0.37903772469261,0.3703780610689889,0.1521532382328926,0.09843097600550846,mod_u_frac,#4daf4a
356,6241,PO,0.3484863926932359,0.2897189262516397,0.22841255702408458,0.1333821240310398,mod_u_frac,#4daf4a
358,2918,UVS NUUR (also UBSU-NUR),0.41083547856694075,0.2553210643194482,0.1821254860799245,0.15171797103368653,mod_u_frac,#4daf4a
360,2920,ZHEM (also EMBA),0.25284369406336005,0.2885087893025992,0.33193780283920177,0.12670971379483884,swe_u_frac,#984ea3
363,6105,MEZEN,0.5260342290131147,0.21817600154897107,0.2068285057747017,0.04896126366321241,mod_u_frac,#4daf4a
364,4421,SACRAMENTO,0.44374460921780395,0.3314538648582144,0.17560789223133388,0.049193633692647835,mod_u_frac,#4daf4a
372,6221,KIZILIRMAK,0.37422576132100144,0.277551809425185,0.17384825017338565,0.17437417908042785,mod_u_frac,#4daf4a
376,4423,SAN JOAQUIN,0.3432574092710299,0.3027233710031016,0.24915288064365262,0.10486633908221582,mod_u_frac,#4daf4a
378,6210,EBRO,0.3382708922446349,0.30926220378732333,0.2558491974741248,0.09661770649391677,mod_u_frac,#4daf4a
382,4234,SAGUENAY,0.22680857523390205,0.25474243503717864,0.371671200872234,0.1467777888566853,swe_u_frac,#984ea3
385,2102,ANABAR,0.2722152011368641,0.20524408966766888,0.384627797446612,0.137912911748855,swe_u_frac,#984ea3
386,4105,BACK,0.3194735560392941,0.1925945676669819,0.25984855817688995,0.2280833181168341,mod_u_frac,#4daf4a
388,4207,CHURCHILL,0.28162774245810157,0.21158879624851706,0.31772494652876876,0.1890585147646126,swe_u_frac,#984ea3
393,4122,LA GRANDE,0.2929643674112893,0.226415504259442,0.2631727064999647,0.21744742182930396,mod_u_frac,#4daf4a
394,6243,RHONE,0.39574042902152196,0.25813873437385526,0.2089205469563169,0.1372002896483058,mod_u_frac,#4daf4a
398,4131,SEVERN,0.16921942253810368,0.22104478388426088,0.37792024943236174,0.2318155441452736,swe_u_frac,#984ea3
400,4118,HAYES,0.17461512984552016,0.27205323768464756,0.41173598951772805,0.1415956429521043,swe_u_frac,#984ea3
401,4124,MOOSE,0.1839457939885008,0.12259963928597581,0.5489044735850976,0.1445500931404258,swe_u_frac,#984ea3
406,2113,PUR,0.26319796830389336,0.2073178883958944,0.2415314826581186,0.2879526606420936,tp_u_frac,#ff7f00
412,6236,ODER,0.3549680834865232,0.37384166424472276,0.2043568024314424,0.06683344983731176,iv_u_frac,#e41a1c
416,4414,KUSKOKWIM,0.357424939831457,0.22469616252375285,0.3377216803518034,0.08015721729298671,mod_u_frac,#4daf4a
420,2916,ULUNGUR HU,0.31797058013384577,0.231625937618104,0.289158849290182,0.16124463295786828,mod_u_frac,#4daf4a
423,2912,SARYSU,0.37415812976787516,0.27378470197198596,0.24409773192756318,0.10795943633257586,mod_u_frac,#4daf4a
424,4101,ALBANY,0.49438849686431907,0.24529361813489625,0.1504611799930893,0.10985670500769533,mod_u_frac,#4daf4a
426,4108,CANIAPISCAU,0.3504362510612461,0.21294042122280266,0.34114529271046207,0.09547803500548925,mod_u_frac,#4daf4a
428,4901,GREAT SALT LAKE,0.3168216726822597,0.4032100683279282,0.15518726138893565,0.12478099760087637,iv_u_frac,#e41a1c
436,2115,TAZ,0.33382348024347464,0.22808768238680688,0.21071025046600655,0.22737858690371196,mod_u_frac,#4daf4a
437,2905,CHUY (also SHU),0.4277897019725511,0.3053642352864669,0.11292193960680157,0.15392412313418033,mod_u_frac,#4daf4a
439,6242,RHINE,0.3329954837056161,0.2775187924596634,0.3512903256505758,0.03819539818414482,swe_u_frac,#984ea3
441,2114,PYASINA,0.2664946200646637,0.31342040909928,0.29343083681064663,0.12665413402540976,iv_u_frac,#e41a1c
443,2402,ANADYR,0.39629627560441594,0.2721620895860042,0.2586687683269538,0.07287286648262617,mod_u_frac,#4daf4a
445,6902,KURA,0.2890427947597233,0.4536064001092268,0.11231631535146198,0.145034489779588,iv_u_frac,#e41a1c
446,6259,VISTULA,0.3595304765165425,0.4505925315983048,0.09101382704299892,0.09886316484215377,iv_u_frac,#e41a1c
448,2917,URAL (also ORAL),0.4047071180560613,0.32603028896327474,0.1888130192606431,0.08044957372002082,mod_u_frac,#4daf4a
450,2436,YONGDING HE,0.4312507094475356,0.28202852735561357,0.16010265330650678,0.1266181098903442,mod_u_frac,#4daf4a
451,2109,OLENEK,0.38542555837254955,0.23442704255610022,0.27467822248572554,0.10546917658562467,mod_u_frac,#4daf4a
452,2417,LIAO HE,0.35632298607395885,0.23006472680580753,0.24310232298435666,0.17050996413587696,mod_u_frac,#4daf4a
453,2909,HAR US NUUR,0.41739518577476836,0.33974828157756776,0.0891353110115085,0.15372122163615531,mod_u_frac,#4daf4a
454,4410,FRASER,0.32317338635028703,0.32002707925340873,0.25250443448784426,0.10429509990846007,mod_u_frac,#4daf4a
455,2116,YANA,0.21353606800833025,0.22045010989069486,0.42358362944555145,0.14243019265542334,swe_u_frac,#984ea3
456,4132,THELON,0.2655355095895333,0.20124557163621473,0.4148180819904296,0.11840083678382246,swe_u_frac,#984ea3
457,2915,THORGAY,0.31799919275584093,0.2805548988933946,0.27821351357541146,0.12323239477535318,mod_u_frac,#4daf4a
461,2319,SALWEEN,0.23245593536844603,0.2735838988181214,0.21121099862146842,0.28274916719196413,tp_u_frac,#ff7f00
462,6235,NEVA,0.3850213763216818,0.2565084510353144,0.31633088725546327,0.0421392853875405,mod_u_frac,#4daf4a
463,2104,KHATANGA,0.3336218496126746,0.3169551167539364,0.2673805542084255,0.0820424794249636,mod_u_frac,#4daf4a
464,4109,CHURCHILL,0.22636660532346628,0.30000603358810635,0.39946498145518833,0.07416237963323906,swe_u_frac,#984ea3
466,6107,PECHORA,0.4596968576768409,0.2642655905993148,0.1564899715367308,0.11954758018711348,mod_u_frac,#4daf4a
467,6109,SEVERNAYA DVINA,0.47080769920516397,0.20471660240291595,0.23533865564069847,0.08913704275122145,mod_u_frac,#4daf4a
