lat,lon,snw_trend_pct
33.0,87.0,-0.24799419622501764
33.0,89.0,-0.3622936141080701
33.0,91.0,-0.5363017851223766
33.0,93.0,-0.22665298533356193
33.0,95.0,-0.7917281585740905
33.0,97.0,-0.7501954443987391
33.0,99.0,-0.8388353227277295
33.0,101.0,-0.870980875878857
33.0,103.0,-0.8086335813836965
33.0,105.0,-0.7892836818260611
33.0,107.0,-0.5324909747540114
33.0,109.0,-0.4113494603444014
33.0,111.0,-0.3289468200471524
33.0,113.0,-0.1111228982956741
33.0,115.0,-0.07313154567911516
33.0,117.0,-0.12631661033406283
33.0,119.0,-0.03215250980626633
35.0,-119.0,0.6769105480664546
35.0,-117.0,0.21785852524075397
35.0,-115.0,0.12484748336059583
35.0,-113.0,-0.3019311865431321
35.0,-111.0,-0.4963759572237213
35.0,-109.0,-0.6462979591386705
35.0,-107.0,-0.31054662073699446
35.0,-105.0,-0.30674378323650603
35.0,-103.0,-0.3904366583594806
35.0,-101.0,-0.32046870209195993
35.0,-99.0,-0.26319714913443326
35.0,-97.0,-0.08403578124740047
35.0,-95.0,-0.08101345993775762
35.0,-93.0,-0.1412257125661794
35.0,-91.0,-0.20696744027769567
35.0,-89.0,-0.15400143722811327
35.0,-87.0,-0.09563001975496964
35.0,-85.0,-0.0875750360700748
35.0,-83.0,-0.12215168178482633
35.0,-81.0,-0.10335108112167882
35.0,-79.0,-0.05959015077465371
35.0,1.0,-3.769128768482238
35.0,3.0,0.27591154102656035
35.0,5.0,1.0254939242679224
35.0,7.0,0.6824697299691297
35.0,9.0,0.08750284488599984
35.0,37.0,-0.3535962538352087
35.0,45.0,-0.6267594552630545
35.0,47.0,-0.8872093848396595
35.0,49.0,-0.7878797920496736
35.0,51.0,-0.38023801302912386
35.0,53.0,-0.3834195302954224
35.0,55.0,-0.03832960082027454
35.0,57.0,0.9247350390437529
35.0,59.0,-0.1177692739917425
35.0,61.0,-0.3033581167277403
35.0,63.0,-0.5791601562034766
35.0,65.0,-0.5036153457049255
35.0,67.0,-0.3286713350187307
35.0,69.0,-0.4541407257659007
35.0,71.0,-0.8792413757255818
35.0,73.0,-0.5743339573172045
35.0,75.0,-0.28756092180977527
35.0,77.0,-0.4125745240950826
35.0,79.0,-0.5093907848236011
35.0,81.0,-0.3761911447186186
35.0,83.0,-0.8125269181122259
35.0,85.0,-0.9430997149974156
35.0,87.0,-0.16233789465558318
35.0,89.0,-0.43852993178188043
35.0,91.0,-0.8442151753635414
35.0,93.0,-0.29539744964315784
35.0,95.0,-0.3733475014919561
35.0,97.0,-0.5062840659130433
35.0,99.0,-0.7536787624132198
35.0,101.0,-0.7998805481233897
35.0,103.0,-0.7073204498712569
35.0,105.0,-0.5986475243263435
35.0,107.0,-0.6696461756478843
35.0,109.0,-0.4926214208135017
35.0,111.0,-0.23332806744907886
35.0,113.0,-0.18543328237034673
35.0,115.0,-0.15014362061712488
35.0,117.0,-0.1291670808899503
35.0,119.0,-0.09002880954931923
37.0,-121.0,-0.0991700446919912
37.0,-119.0,-0.3906707365588899
37.0,-117.0,-0.44633172047891273
37.0,-115.0,-0.44843610929606026
37.0,-113.0,-0.47457204019602506
37.0,-111.0,-0.49753703229451424
37.0,-109.0,-0.6207179190924155
37.0,-107.0,-0.5825033148248134
37.0,-105.0,-0.837869558945669
37.0,-103.0,-0.7549987087162232
37.0,-101.0,-0.4875635450910574
37.0,-99.0,-0.2693660047334135
37.0,-97.0,-0.11976526367833679
37.0,-95.0,-0.07742550414479996
37.0,-93.0,-0.1266386093679597
37.0,-91.0,-0.11496710075486494
37.0,-89.0,-0.13722570512642823
37.0,-87.0,-0.23249730101232452
37.0,-85.0,-0.29706911154196863
37.0,-83.0,-0.33287136146927304
37.0,-81.0,-0.34440124230171
37.0,-79.0,-0.27561857951753155
37.0,-77.0,-0.15001060978056638
37.0,37.0,-0.5697541245572701
37.0,39.0,-0.4795546063839246
37.0,41.0,-0.703825265818788
37.0,43.0,-0.9063567217749107
37.0,47.0,-1.0269588153304456
37.0,55.0,-0.3446803395776003
37.0,57.0,-0.3650415592190599
37.0,59.0,-0.21945726889351924
37.0,61.0,-0.2808056853495229
37.0,63.0,-0.2392760039005079
37.0,65.0,-0.6378633231336612
37.0,67.0,-0.8116601676630172
37.0,69.0,-0.9274010183097665
37.0,71.0,-0.22758562794860862
37.0,73.0,-0.2435202291671974
37.0,75.0,-0.26383697375040466
37.0,77.0,-0.3266259664292351
37.0,79.0,-0.2018463578562601
37.0,81.0,-0.6151337933425016
37.0,83.0,-0.8073467139304963
37.0,85.0,-0.5199561453793915
37.0,87.0,-0.2561670836433771
37.0,89.0,-0.5374929314009573
37.0,91.0,-0.5997342847140805
37.0,93.0,-0.2341184253981668
37.0,95.0,-0.32083588468232416
37.0,97.0,-0.31034410281236374
37.0,99.0,-0.3602356418671404
37.0,101.0,-0.32015540076890514
37.0,103.0,-0.2679936828882373
37.0,105.0,0.003452085955741868
37.0,107.0,-0.17121314362061632
37.0,109.0,-0.33128113608695037
37.0,111.0,-0.2849659310678805
37.0,113.0,-0.22126750155050215
37.0,115.0,-0.18210031122635736
37.0,117.0,-0.2241088986641137
39.0,-121.0,-0.3053926317065269
39.0,-119.0,-0.6587680113781126
39.0,-117.0,-0.5653899505207126
39.0,-115.0,-0.7039421656854832
39.0,-113.0,-0.8842766707321542
39.0,-111.0,-0.7078239701575334
39.0,-109.0,-0.7205762076103915
39.0,-107.0,-0.5732089340377685
39.0,-105.0,-0.6403602457182637
39.0,-103.0,-0.674877398224734
39.0,-101.0,-0.45859450699216636
39.0,-99.0,-0.27276712406793463
39.0,-97.0,-0.24566901807665625
39.0,-95.0,-0.2283374217416637
39.0,-93.0,-0.16297951425968712
39.0,-91.0,-0.19211192097757027
39.0,-89.0,-0.18578271413204794
39.0,-87.0,-0.4374533323099334
39.0,-85.0,-0.46600259323474696
39.0,-83.0,-0.472301510788884
39.0,-81.0,-0.4072951409596816
39.0,-79.0,-0.4243397121562133
39.0,-77.0,-0.4372663135051843
39.0,-7.0,0.22419304190488687
39.0,-5.0,9.057853811266515
39.0,-3.0,0.012310452732236861
39.0,-1.0,-0.2300200220596313
39.0,29.0,-0.4128396315071078
39.0,31.0,-0.4707629174365539
39.0,33.0,-0.5344481734836575
39.0,35.0,-0.9605920123313264
39.0,37.0,-1.0662390256273362
39.0,39.0,-0.9358370914521849
39.0,41.0,-0.9297240572975475
39.0,43.0,-1.1017159808956511
39.0,45.0,-1.0189072014706468
39.0,47.0,-0.8407323792706708
39.0,55.0,-1.9752645240579116
39.0,57.0,-0.19356345967221308
39.0,59.0,-0.2798765315510346
39.0,63.0,0.1860632904420512
39.0,65.0,-0.43925871399239486
39.0,67.0,-0.901545271537739
39.0,69.0,-0.7299171372138944
39.0,71.0,-0.19201328363510195
39.0,73.0,-0.16738555970879182
39.0,75.0,-0.389119618712693
39.0,77.0,-0.18624257578521156
39.0,79.0,-0.06616823675789302
39.0,81.0,-0.11304778620119492
39.0,85.0,-0.24584308121512455
39.0,87.0,-0.07786059403584696
39.0,89.0,0.037344247306210825
39.0,91.0,-0.19297179411734255
39.0,93.0,-0.11914885178089231
39.0,95.0,-0.07429331248697457
39.0,97.0,-0.10318544743341317
39.0,99.0,0.04247232691134901
39.0,101.0,-0.31645742041288244
39.0,103.0,-0.17547417220649475
39.0,105.0,-0.10663631086242277
39.0,107.0,-0.19236366891166073
39.0,109.0,-0.17878694147580065
39.0,111.0,-0.1421739840468021
39.0,113.0,-0.20751645778644232
39.0,115.0,-0.17535741459235263
41.0,-123.0,-0.2743744471704539
41.0,-121.0,-0.4841085883044004
41.0,-119.0,-0.9024450506950076
41.0,-117.0,-0.8572565685320958
41.0,-115.0,-0.7698529971785775
41.0,-113.0,-0.8533581743350243
41.0,-111.0,-0.7503744480394473
41.0,-109.0,-0.3679889588296104
41.0,-107.0,-0.2831334612907506
41.0,-105.0,-0.41961039002242173
41.0,-103.0,-0.4951529114634336
41.0,-101.0,-0.16181748473529087
41.0,-99.0,-0.1696171646907272
41.0,-97.0,-0.24503685396039812
41.0,-95.0,-0.2308375446206287
41.0,-93.0,-0.2533165535355623
41.0,-91.0,-0.32156226405334176
41.0,-89.0,-0.37809780543709476
41.0,-87.0,-0.5632455024173543
41.0,-85.0,-0.5657359499765886
41.0,-81.0,-0.6722635507817212
41.0,-79.0,-0.7702301713983402
41.0,-77.0,-0.9063519236897306
41.0,-75.0,-0.9737636603642215
41.0,-7.0,-0.3081129599984896
41.0,-5.0,-0.29891001034594655
41.0,-3.0,-0.2623118961077182
41.0,-1.0,-0.28969636884683225
41.0,21.0,-0.3938844098570833
41.0,23.0,-0.3200322499427439
41.0,43.0,-0.9154924831852397
41.0,45.0,-0.7420819099121015
41.0,47.0,-0.6016358384065974
41.0,55.0,-0.2963508752405516
41.0,57.0,-0.24473220126186665
41.0,59.0,-0.30838610446887266
41.0,61.0,-0.30958585627090834
41.0,63.0,-0.18361638825202087
41.0,65.0,-0.2512397063968436
41.0,67.0,-0.30146100382855345
41.0,69.0,-0.9842082314255746
41.0,71.0,-0.7951269137052388
41.0,73.0,-0.6325579144924564
41.0,75.0,-0.488672380559888
41.0,77.0,-0.6073419867411176
41.0,79.0,-0.5521990782116548
41.0,81.0,-0.33805359899511417
41.0,83.0,-0.5262800721429752
41.0,85.0,-0.32258415345497576
41.0,87.0,-0.0726837400865274
41.0,89.0,1.1207477191022608
41.0,91.0,-0.5216727551828414
41.0,93.0,-0.013184746059434831
41.0,95.0,0.09508520392357261
41.0,97.0,0.0679174488002988
41.0,99.0,0.08629837571485278
41.0,101.0,0.14433522931204112
41.0,103.0,0.08108131248199635
41.0,105.0,-0.39614632431016045
41.0,107.0,-0.15772666739603072
41.0,109.0,-0.2709313604760694
41.0,111.0,-0.17398205494532473
41.0,113.0,0.031123518162323335
