product,lat,lon,swe_trend_pct
Ens. Mean,35.0,5.0,0.21368619182392493
Ens. Mean,35.0,7.0,0.9011718020848778
Ens. Mean,35.0,9.0,1.5758674955058545
Ens. Mean,35.0,37.0,-1.0179784045150069
Ens. Mean,35.0,45.0,-1.2078363706139974
Ens. Mean,35.0,47.0,-2.4619795186217934
Ens. Mean,35.0,49.0,-2.583172341556269
Ens. Mean,35.0,51.0,-1.2841816725758206
Ens. Mean,35.0,53.0,-0.9773290007426809
Ens. Mean,35.0,55.0,-0.8240815406679409
Ens. Mean,35.0,57.0,-0.6886585656419124
Ens. Mean,35.0,59.0,-1.2403434838755576
Ens. Mean,35.0,61.0,-1.1733120445516156
Ens. Mean,35.0,63.0,-1.8467639965011586
Ens. Mean,35.0,65.0,-1.177782491225266
Ens. Mean,35.0,67.0,-0.0663028317156609
Ens. Mean,35.0,69.0,0.02211979583170236
Ens. Mean,35.0,71.0,-0.13350507357687805
Ens. Mean,35.0,73.0,-0.5191073908934895
Ens. Mean,35.0,75.0,-0.2572322215798333
Ens. Mean,35.0,77.0,0.40187392008548334
Ens. Mean,35.0,79.0,0.13423478635866667
Ens. Mean,35.0,81.0,0.9380992512842768
Ens. Mean,35.0,83.0,1.1590176626046949
Ens. Mean,35.0,85.0,1.0966616519754664
Ens. Mean,35.0,87.0,0.817495070860567
Ens. Mean,35.0,89.0,0.5133520587134637
Ens. Mean,35.0,91.0,0.3278918998831248
Ens. Mean,35.0,93.0,0.4722063562080697
Ens. Mean,35.0,95.0,0.23741103612171316
Ens. Mean,35.0,97.0,0.05361098961836306
Ens. Mean,35.0,99.0,0.3181549421477826
Ens. Mean,35.0,101.0,-0.026307620158670254
Ens. Mean,35.0,103.0,-0.4798265543405032
Ens. Mean,35.0,105.0,-0.8105107319672108
Ens. Mean,35.0,107.0,-1.5513047318995536
Ens. Mean,35.0,109.0,-1.0586378657513256
Ens. Mean,35.0,111.0,-1.9865165669546676
Ens. Mean,35.0,113.0,-1.4456454043762907
Ens. Mean,35.0,115.0,-0.35519729255157456
Ens. Mean,35.0,117.0,0.18944278353244776
Ens. Mean,35.0,119.0,-1.0271079533229532
Ens. Mean,37.0,-121.0,0.23370371104186627
Ens. Mean,37.0,-119.0,-0.8863348299539708
Ens. Mean,37.0,-117.0,-0.9303211359100247
Ens. Mean,37.0,-115.0,-1.8442003467636532
Ens. Mean,37.0,-113.0,-1.2119406472222625
Ens. Mean,37.0,-111.0,-0.9654576288143659
Ens. Mean,37.0,-109.0,-1.1762618739641233
Ens. Mean,37.0,-107.0,-1.0213540049243506
Ens. Mean,37.0,-105.0,-1.6529163410513097
Ens. Mean,37.0,-103.0,-1.6703769209861177
Ens. Mean,37.0,-101.0,-1.3250798679896392
Ens. Mean,37.0,-99.0,-0.522783032400844
Ens. Mean,37.0,-97.0,0.7220278657957562
Ens. Mean,37.0,-95.0,0.2868172367828633
Ens. Mean,37.0,-93.0,0.2214241664736621
Ens. Mean,37.0,-91.0,0.042937138241031486
Ens. Mean,37.0,-89.0,0.12103590718999602
Ens. Mean,37.0,-87.0,0.21786205543621245
Ens. Mean,37.0,-85.0,0.11444638334418998
Ens. Mean,37.0,-83.0,-0.4725578461348941
Ens. Mean,37.0,-81.0,-0.6089191874591685
Ens. Mean,37.0,-79.0,-0.16304415193572513
Ens. Mean,37.0,-77.0,-0.1235685297826972
Ens. Mean,37.0,37.0,-0.978710614708095
Ens. Mean,37.0,39.0,-0.7646670987536389
Ens. Mean,37.0,41.0,-0.606618924093279
Ens. Mean,37.0,43.0,-0.9994960037779599
Ens. Mean,37.0,47.0,-2.7512363461980143
Ens. Mean,37.0,55.0,-0.8105346490072126
Ens. Mean,37.0,57.0,-1.100881409481482
Ens. Mean,37.0,59.0,-0.7879769058284712
Ens. Mean,37.0,61.0,-0.7273159814099512
Ens. Mean,37.0,63.0,-0.4209772362373754
Ens. Mean,37.0,65.0,-1.4685565321421623
Ens. Mean,37.0,67.0,-1.9085266276588009
Ens. Mean,37.0,69.0,-1.0599858920717633
Ens. Mean,37.0,71.0,-0.08346478349633082
Ens. Mean,37.0,73.0,-0.10452400918372998
Ens. Mean,37.0,75.0,0.33230505147864486
Ens. Mean,37.0,77.0,0.36225626006095446
Ens. Mean,37.0,79.0,0.511911983371934
Ens. Mean,37.0,81.0,0.29026294777366407
Ens. Mean,37.0,83.0,0.2013036195103246
Ens. Mean,37.0,85.0,0.1942680308163051
Ens. Mean,37.0,87.0,0.3078198077217202
Ens. Mean,37.0,89.0,0.1777024289448405
Ens. Mean,37.0,91.0,0.6486231379851468
Ens. Mean,37.0,93.0,0.8907308047952693
Ens. Mean,37.0,95.0,0.3033410743124251
Ens. Mean,37.0,97.0,0.49354280345474527
Ens. Mean,37.0,99.0,0.4557153179320917
Ens. Mean,37.0,101.0,-0.08876275192746377
Ens. Mean,37.0,103.0,-0.4963390476674744
Ens. Mean,37.0,105.0,-1.0877327808689081
Ens. Mean,37.0,107.0,-0.9419957534399301
Ens. Mean,37.0,109.0,-1.4443995783739232
Ens. Mean,37.0,111.0,-1.9111594432930215
Ens. Mean,37.0,113.0,-0.928977344974107
Ens. Mean,37.0,115.0,-0.22381088010255695
Ens. Mean,37.0,117.0,-0.3130394851227054
Ens. Mean,39.0,-121.0,-0.39189012566409825
Ens. Mean,39.0,-119.0,-0.7902049623455196
Ens. Mean,39.0,-117.0,-1.4556849857944807
Ens. Mean,39.0,-115.0,-1.0607558819575043
Ens. Mean,39.0,-113.0,-1.1082093792677998
Ens. Mean,39.0,-111.0,-1.0359630557572754
Ens. Mean,39.0,-109.0,-1.07744042952262
Ens. Mean,39.0,-107.0,-0.29677410653996583
Ens. Mean,39.0,-105.0,-1.247569211260732
Ens. Mean,39.0,-103.0,-2.1027437039056007
Ens. Mean,39.0,-101.0,-1.4931750776453014
Ens. Mean,39.0,-99.0,-1.068361160690227
Ens. Mean,39.0,-97.0,0.19701551041085666
Ens. Mean,39.0,-95.0,0.35365270019621
