model,lat,lon,fr_orig,fr_recon
ACCESS-CM2_r1i1p1f1,31.0,-105.0,7.794141136961617e-07,0.24432115942553032
ACCESS-CM2_r1i1p1f1,31.0,51.0,-1.1877862218176127e-05,-2.015484761065637
ACCESS-CM2_r1i1p1f1,31.0,53.0,-0.00032720335494908773,-4.495842760730442
ACCESS-CM2_r1i1p1f1,31.0,55.0,-0.0004865203738101064,-2.2686265821931615
ACCESS-CM2_r1i1p1f1,31.0,57.0,0.0,-5.858265820906004
ACCESS-CM2_r1i1p1f1,31.0,67.0,-8.639489118502395e-08,-1.176536615653653
ACCESS-CM2_r1i1p1f1,31.0,69.0,0.0,-1.1231792643085265
ACCESS-CM2_r1i1p1f1,31.0,77.0,-0.9283579046080505,-0.13877830954390125
ACCESS-CM2_r1i1p1f1,31.0,79.0,-0.9576040534091635,-5.115619875966472
ACCESS-CM2_r1i1p1f1,31.0,81.0,-1.9127117852432034,-2.8948581055546576
ACCESS-CM2_r1i1p1f1,31.0,83.0,-5.8398531728609875,-9.391292702488041
ACCESS-CM2_r1i1p1f1,31.0,85.0,-16.06364015347308,-27.045407000648375
ACCESS-CM2_r1i1p1f1,31.0,87.0,-9.922049306857506,-15.96522300852388
ACCESS-CM2_r1i1p1f1,31.0,89.0,-13.77194061802135,-13.685125446010204
ACCESS-CM2_r1i1p1f1,31.0,91.0,-2.1990608548355195,-7.6177144787821565
ACCESS-CM2_r1i1p1f1,31.0,93.0,-10.571273863699542,-14.106203873589164
ACCESS-CM2_r1i1p1f1,31.0,95.0,-18.474696317022506,-15.946664089331373
ACCESS-CM2_r1i1p1f1,31.0,97.0,-12.245163323727144,-2.6786552569918882
ACCESS-CM2_r1i1p1f1,31.0,99.0,-14.11504520149092,-6.613550896525257
ACCESS-CM2_r1i1p1f1,31.0,101.0,-16.267264837052196,-4.937425290714106
ACCESS-CM2_r1i1p1f1,31.0,103.0,-24.67750582902532,-22.710984768262666
ACCESS-CM2_r1i1p1f1,31.0,105.0,-18.49521842948751,-13.366066977402685
ACCESS-CM2_r1i1p1f1,31.0,107.0,-7.813404495948049,-4.165303869659014
ACCESS-CM2_r1i1p1f1,31.0,109.0,-22.34156280582025,-11.54990990414348
ACCESS-CM2_r1i1p1f1,31.0,111.0,-25.004537583413025,-10.804857844750119
ACCESS-CM2_r1i1p1f1,31.0,113.0,-14.464182608142705,-9.944011352470152
ACCESS-CM2_r1i1p1f1,31.0,115.0,-1.1931381362790243,-0.19993921649745916
ACCESS-CM2_r1i1p1f1,31.0,117.0,-0.0728963721745704,-13.485547122022755
ACCESS-CM2_r1i1p1f1,31.0,119.0,-2.1390055111010882e-07,-1.920717620855398
ACCESS-CM2_r1i1p1f1,33.0,-111.0,-3.3446199336657014,-2.2106781180701063
ACCESS-CM2_r1i1p1f1,33.0,-109.0,-0.48225409072607806,-17.895075116556058
ACCESS-CM2_r1i1p1f1,33.0,-107.0,-0.25628575206332344,2.306313282430091
ACCESS-CM2_r1i1p1f1,33.0,-105.0,0.01767132358535829,5.9494231465663585
ACCESS-CM2_r1i1p1f1,33.0,-103.0,1.401179658218167,3.6623043674638542
ACCESS-CM2_r1i1p1f1,33.0,-101.0,0.06075734327057962,6.758553328638829
ACCESS-CM2_r1i1p1f1,33.0,-99.0,0.0,5.588323481328882
ACCESS-CM2_r1i1p1f1,33.0,47.0,0.0,-1.167788818573345
ACCESS-CM2_r1i1p1f1,33.0,49.0,-0.05036840260197414,-7.343179919357226
ACCESS-CM2_r1i1p1f1,33.0,51.0,-0.1896273703042291,-3.9964510754201514
ACCESS-CM2_r1i1p1f1,33.0,53.0,-7.819700374959231e-05,-0.14959846848962327
ACCESS-CM2_r1i1p1f1,33.0,55.0,0.0,-1.7106021218975902
ACCESS-CM2_r1i1p1f1,33.0,57.0,0.0,-2.4223751651775594
